source_article,updated_label
"Bruce is American, or he is not from New Jersey.
Bruce is not American, therefore, he is not from New Jersey.",fallacy of logic
Justin's mom gets his phone bill and he has gone over the limit. He begins talking to her about how hard his math class is and how well he did on a test today.,fallacy of relevance
"""If you do not submit your requirements today, you should drop your classes with Sir Lean.""",false dilemma
Believing that taco bell is healthy for you because everyone else does.,ad populum
"My minister says the Covid vaccine will cause genetic mutations. He has a college degree, and is a holy man, so he must be right.",fallacy of credibility
"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters.",faulty generalization
We admit that the measure is popular. But we also urge you to note that there are so many bond issues on the ballot that the whole thing is getting ridiculous.,fallacy of relevance
"I know that our TV advertisements are more effective than radio. The numbers show that we hit twice the audience with TV, and our focus groups remember the TV commercial 38 percent more than the radio slot.",faulty generalization
This is an example of what logic fallacy?,appeal to emotion
"The medicine man rolled into town on his bandwagon offering various natural remedies, such as very special plain water. He said that it was only natural that people should be wary of 'artificial' medicines such as antibiotics.",fallacy of credibility
Over 99 billion people served…,ad populum
The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls.,circular reasoning
"“If we allow gay people to get married, then the next thing you know people will be wanting to marry their pets!”",faulty generalization
"Don’t waste food, people in Marawi are suffering because of hunger.",appeal to emotion
"If it barks, it is a dog.
It doesn’t bark.
Therefore, it’s not a dog.",fallacy of logic
"I go to my front porch every morning and yell, “May no tigers enter this house!” and for 20 years, not a single tiger has entered my house. My tiger prevention strategy clearly works.",false causality
"In the 6 years that I have been practicing my new and improved brand of cognitive-humanistic-dynamic-behavioral-deconstructive-metaregressive-deontological psychotherapy (now with biofeedback!), which I developed, there has not been one published study showing that it fails to work or that it has ever harmed a patient. It is clearly one of the safest and most effective interventions ever devised.",intentional
"If you don’t say the Pledge of Allegiance, then you must be a traitor.",false dilemma
"Person 1: You’re either for the war or against the troops.

Person 2: Actually, I do not want our troops sent into a dangerous war.",false dilemma
"""Either you pass this test, or you fail it."" Laughed Sr Malak",false dilemma
"If you don't go to camp, you won't have fun this summer, and your whole summer will be ruined!",faulty generalization
Is your stupidity inborn?,intentional
"The writer, speaker, or an ad supports a claim with restatements of the same claim. (The argument goes around and around in a circle)",circular reasoning
Of course you don't like rap or hip-hop music! You wear the same clothes every day and have zero fashion sense.,ad hominem
"It is said that we have a good understanding of our universe.  Therefore, we know exactly how it began and exactly when.",equivocation
"Before he died, poet Allen Ginsberg argued in favor of legalizing pornography. But Ginsberg's arguments are nothing but trash. Ginsberg was a pot-smoking homosexual and a thoroughgoing advocate of the drug culture.",ad hominem
(Ignoring the Question): when a rebuttal doesn't address the question ,fallacy of relevance
"A: I don't want to visit McDonald's today.
B: So you're just against good food then?
The above is an example of:",fallacy of extension
"""I'd like to punch him in the face."" - Donald Trump (Feb. 2016, at a campaign rally, remarks directed at a protester who was being escorted out of the rally.)",appeal to emotion
Senator Ribbit is a liar. You shouldn't listen to him on anything.,ad hominem
There's no way you know this - you're clearly too young to understand!,ad hominem
Mrs. Sedik really knows math; she would be an excellent math instructor.,fallacy of logic
"""I asked my five closest friends and they all agree that the new Underwater Basketweaving Team Coach is a jerk, therefore I'm not trying out for the team"" IS an example of THIS fallacy.",faulty generalization
"Dr. X is an engineer, and he doesn’t believe in global warming.",fallacy of credibility
Decriminalizing marijuana turns the U.S. into a stoner nation,faulty generalization
"""When my parents talk to me about how important it is to learn a second language, I remind them they didn't learn another language.",circular reasoning
"People generally like to walk on the beach. Beaches have sand. Therefore, having sand floors in homes would be a great idea!",fallacy of logic
"Look, it doesn't matter whether or not you think America should build a wall on the border. The President thinks America should do it, so it's a good idea.",fallacy of credibility
"Speaker 1: I really think we need to do something about the rising levels of poverty and homelessness in our country.
Speaker 2: Why are you worried about poverty? Look how many children we abort every day.",fallacy of relevance
"Mother: It’s bedtime Jane Jane: Mom, how do ants feed their babies? Mother: Don’t know dear, close your eyes now. Jane: But mama, do ant babies cry when they’re hungry?",fallacy of relevance
"All Catholics are Christian.
All Christians are Jesus lovers.
Therefore, all Jesus lovers are Catholic.",fallacy of logic
"""You can't believe that theory. No one would believe that. It's too unbelievable.""",fallacy of relevance
"""The critical mission was horribly executed."" is an example of ...",appeal to emotion
"All Paul Newman movies are great.
All great movies are Oscar winners.
Therefore, all Oscar winners are Paul Newman movies.",fallacy of logic
"“The police should stop environmental demonstrators from inconveniencing the general public. We pay our taxes.”
“Surely global meltdown is infinitely worse than a little inconvenience?”",fallacy of relevance
"“President Kumail raised taxes, and then the rate of violent crime went up. Kumail is responsible for the rise in crime.”",false causality
"My friend said her Math class was hard, and the one I’m in is hard, too. All Math classes must be hard!",faulty generalization
Studies show that it takes up to seven years for the human body to digest a piece of gum.,fallacy of credibility
"Parent: I really don’t want you to smoke pot. It’s still illegal, and could get you into trouble.
Child: Didn’t you smoke pot when you were my age? You must not think it’s a big deal.",ad hominem
Two words: New Coke.,fallacy of credibility
"You must obey the law, because it's illegal to break the law.",circular reasoning
"""Four legs good, two legs bad""",ad populum
"Gus is Christian or Gus is politically liberal.
Gus is a Christian.
Therefore, Gus is not politically liberal.",fallacy of logic
If we get rid of assault weapons for citizens then we will also soon lose freedom of speech and all freedoms as other countries rush in to conquer us (if the zombies don’t exterminate us first!),faulty generalization
"Supreme Court Justice Byron White was an All-American football player while in college, so how can you say that athletes are dumb?",faulty generalization
"Jen: Don’t you realize that all this drinking you are doing is making your family miserable?
Bridget: Yes, I do.
Jen: Then what are you doing about it?
Bridget: Drinking to forget.
",false causality
Aliens must exist because most people believe in them.,ad populum
"Of course the Senator from Maine opposes a reduction in naval spending. After all, Bath Ironworks, which produces warships, is in Maine.",ad hominem
"""If you don't get an A in Mr. K's class you will fail high school, never graduate, and end up fighting people for nickels under freeway as a career""",faulty generalization
"I heard that the Catholic Church was involved in a sex scandal cover-up.  Therefore, my 102-year-old Catholic neighbor, who frequently attends Church, is guilty as well!",faulty generalization
"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?

Ken: But what is morality exactly?

Mike: It’s a code of conduct shared by cultures.

Ken: But who creates this code?...",fallacy of relevance
"I think that we should reject what Father Jones has to say about the ethical issues of abortion because he is a Catholic priest. After all, Father Jones is required to hold such views",ad hominem
"Speaker 1: You should trust the Bible because it’s the Word of God.
Speaker 2: How do you know it’s the Word of God?
Speaker 1: Because God tells us it is.
Speaker 2: Where does God tell us this?
Speaker 1: Right here, in the Bible.",circular reasoning
If you don't say the Pledge of Allegiance you are a traitor.,false dilemma
"I have flipped heads five times in a row.  As a result, the next flip will probably be tails.",false causality
blame opponent's policy for the country's problems,false causality
"Don't be out-dated and un-fashionable! Buy the new, modern double-lined heavy duty jeans - the old ripped jeans of the past are out!",intentional
A commercial claims that a specific brand of cereal is the best way to start the day because athlete Michael Jordan says that it is what he eats every day for breakfast.,fallacy of credibility
A misrepresentation of an opponent’s position that makes it easier to argue against,fallacy of extension
We as the Board can either choose to approve this initial public offering or we can suffer slow annihilation at the hands of our competitors.,false dilemma
Plagiarism is deceitful because it is dishonest.,circular reasoning
"Bert: How do eyes project an image to your brain?
Ernie: Think of it as a little guy in your brain watching the movie projected by your eyes.
Bert: Ok, but what is happening in the little guy in your head’s brain?
Ernie: Well, think of it as a little guy in his brain watching a movie...
",circular reasoning
or group in order to discredit an idea with which the person or group is associated; distracts the reader from the real issue,ad hominem
"Allowing overnight guests in the dorm rooms will lead to nothing but trouble: promiscuity, teen pregnancy, and eventually, a bunch of unwed mothers on campus, trying to complete their degrees while raising a child.",faulty generalization
"I don’t care what scientists say, my mother always told me that the world is flat, and she would never lie to me!",fallacy of credibility
"You should eat more green leafy vegetables, because Ms. Lord says so, and she is an expert on grammar and vocabulary.",fallacy of credibility
Paranormal activity is real because I've seen a ghost.,circular reasoning
"My mother always told me that if I went outside right after bathing, during winter, I would catch pneumonia.",faulty generalization
"occurs when your opponent over-simplifies or misrepresents your argument (i.e., setting up a ""straw man"") to make it easier to attack or refute",fallacy of extension
We cannot support immigrants because we have too many homeless and poor Americans.,false dilemma
"Consider the following exchange:
Omar: I think capital punishment is a necessary component of our justice system and should remain legal.
Kayla: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.
Of what fallacy is Kayla guilty?",fallacy of extension
"Sometimes flu vaccines don’t work, therefore vaccines are useless.",faulty generalization
"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",appeal to emotion
"""People generally like to walk on the beach. Beaches have sand. Therefore, having sand floors in homes would be a great idea!""",fallacy of logic
"Sugar is an essential component of the body...a key material in all sorts of metabolic processes,' neglecting the fact that it is glucose (blood sugar) not ordinary table sugar (sucrose) that is the vital nourishment.",equivocation
"Angus declares that Scotsmen do not put sugar on their porridge, to which Lachlan points out that he is a Scotsman and puts sugar on his porridge. Furious, like a true Scot, Angus yells that no true Scotsman sugars his porridge.",intentional
Discoveries from Archimedes should be dismissed because he made them in a bathtub and not a proper university laboratory.,ad hominem
"""Andrea Starkk has written several books arguing that the media harms women when it comes to body image. But Starkk is an ugly, bitter person, so you shouldn't listen to her.""",ad hominem
"""A baseball pitcher bought new socks before he pitched a winning game. The new socks caused a pitcher to throw faster! He will wear the new socks for EVERY game now.""

This is an example of...",false causality
"""That politician wants you to think he loves America. His last rally had 20 American flags flying behind him"" IS an example of this fallacy.",ad populum
This fallacy is a distraction from the argument typically with some sentiment that seems to be relevant but isn’t really on-topic.,fallacy of relevance
"Power lines cause cancer. I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.” I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills.",appeal to emotion
“I sneezed exactly at the same time the power went off. My sneeze must’ve done something to make the power go off. “,false causality
A commercial about abandoned animals needing shelter or a forever home. They ask for a small donation to help these struggling animals.,appeal to emotion
"Melvin: Boss, why do I have to work weekends when nobody else in the company does?
Boss: Am I sensing insubordination?  I can find another employee very quickly, thanks to Craigslist, you know.
",appeal to emotion
"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
",ad hominem
President Reagan was a great communicator because he had the knack of talking effectively to the people.,circular reasoning
"Ms. Long has suggested that our schools let students take statistics instead of algebra to graduate. Frankly, it is puzzling to me that she thinks algebra is a useless subject.",fallacy of extension
Naima is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Naima concludes that the cat's scratch must be the cause of her illness.,false causality
"Speaker 1: I think it’s terrible that a game hunter killed Cecil the lion.
Speaker 2: What about all the babies that are killed every day by abortion?",fallacy of relevance
"Boris is not qualified to make suggestions about our penal system. As an ex-convict, he would always take the criminals’ side.",ad hominem
"Because you found something difficult to understand, or are unaware of how it works, you made out like it is probably not true.",intentional
"Pastor Pete: People are turning to God everywhere!  9 out of 10 people I interviewed said that they had a personal relationship with Jesus Christ.
Fred: Where did you find these people you interviewed?
Pastor Pete: In my church.",faulty generalization
"When someone says, ""Either schools need to fully open immediately and no students should wear masks or all teachers are Communists!""",false dilemma
"Farmer McDonald: Ever since they put up that new power plant across the river, we haven't had a bit of rain. I'm tellin' you, mankind has got too big for its britches when it fiddles around with nature.",false causality
"My doctor is overweight, so I don't believe anything he tells me about improving my health.",ad hominem
"Even without watching the movie, I just know that it would not be as good as the book.",faulty generalization
Bob Jones is a monster who likes to separate immigrant families in detention centers. How could you vote for someone like that??,fallacy of extension
"""People who don't support the proposed state minimum wage increase hate the poor.""",fallacy of extension
You can't believe Bob's idea. He's a socialist.,ad hominem
You are either a leader or a follower.,false dilemma
"Joseph can’t be class president, he’s poor!”",ad hominem
My opponent argues that we should abolish the soda tax. It's a shame that he wants to encourage people to eat and drink unhealthily. I say we keep it.,fallacy of extension
"""Because I forgot to leave my porch light on, someone robbed my house.""",false causality
Some people say that the coronavirus is dangerous. Others say that it is not dangerous. That must mean that some coronavirus vaccinations are fine while others are not.,fallacy of relevance
Eating five candy bars and drinking two sodas before a test helps me get better grades. I did that and got an A on my last test in history.,false causality
This happens when you assume that something is acceptable just because it is very common.,ad populum
"If I don’t take this A.P. class, then I won’t do well on the exam. If I don’t do well on the A.P. exam, then I can’t get into a good college. If I can’t get into a good college, then I’ll never get a good job. If I can’t get a good job, then I’m going to have to live in my parents’ basement forever. Guess I’ll sign up for the A.P. class.",faulty generalization
"You got a cold two nights ago but last night you stayed up really late and now you are no longer sick, so it must be because you stayed up really late last night. What fallacy is being committed?",false causality
"That type of car is poorly made; a friend of mine has one, and it continually gives him trouble.",faulty generalization
"Autumn is trying to raise money for her university's library. In her address to the board of trustees, she says, ""We must raise tuition to cover the cost of new books. Otherwise the library will be forced to close.""

Of what fallacy is this an example?",false dilemma
"If we don’t bail out the big automakers, the US economy will collapse.  Therefore, we need to bail out the automakers.",appeal to emotion
Verizon advertising the newest Samsung Galaxy phone that they claim everyone else who has bought it loves the new product.,ad populum
I think that businesses should not have to limit the amount of pollutants they  release into the atmosphere because Rush Limbaugh says that there is no real  evidence for industrial pollutants causing the Greenhouse Effect.,fallacy of credibility
I don’t see what’s wrong with engaging the services of a professional escort.,appeal to emotion
"""Dra. Vicky Belo said that all kind of cars need fuel to start.""

What fallacy is being committed in the sentence above?",fallacy of credibility
We surveyed all the customers in the store and they all agreed that staying open 24 hours would be a great idea. We need to put together a 24-hour schedule as soon as possible.,ad populum
John agrees with me that drinking energy drinks are bad for you. ,fallacy of credibility
"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",appeal to emotion
"Dicky: So how do you think life began?
Ralphie: Simple.  Aliens from another planet seeded this planet with life billions of years ago.
Dicky: OK, but how did that alien life form begin?
Ralphie: Simple.  Aliens from another planet seeded that planet with life.
",circular reasoning
"Thanks to her enduring popularity with employees, Annie Smith is the best-liked CEO in our company's history.",ad hominem
"Justin Beiber wears Ray Bans, so you should buy a pair to wear in the sun.",ad populum
God exists because the Bible says so. The Bible is a reliable source because it is the  word of God.,circular reasoning
"Ralph Nader and Pat Buchanan are banging at the doors, and the political establishment, consisting of both politicians and the media, seems determined not to let them in on the grounds that they have no public support.",circular reasoning
marijuana shouldn’t be legalized because it wasn’t socially acceptable.,circular reasoning
the following is an example of...,faulty generalization
"While I think most people shouldn't be allowed to falsely claim they need a support animal on airplanes, I really do need my dog to calm me down. It's not my fault my doctor won't give me authorization.",intentional
"""Everyone uses Social Media to fundraise, therefore there's no problem with asking for money on social media sites as long as it's going to charity"" SHOWS evidence of what fallacy?",ad populum
Cell phones stop students from concentrating in class because they are distracting.,circular reasoning
"Person #1: We need to start high school later in the morning.
Person #2: Oh, so you think we should all just sleep in until noon and have school until it gets dark?",fallacy of extension
"""You asked me why the unemployment rate has increased once more, but I'm going to tell you what has an even worse effect on morale in this country.""",fallacy of relevance
People who read are smart.,faulty generalization
"He was born to Catholic parents and raised as a Catholic until his confirmation in 8th grade.  Therefore, he is bound to want to defend some Catholic traditions and, therefore, cannot be taken seriously.",ad hominem
"Pvt. Joe Bowers: What are these electrolytes? Do you even know?
Secretary of State: They're... what they use to make Brawndo!
Pvt. Joe Bowers: But why do they use them to make Brawndo?
Secretary of Defense: [raises hand after a pause] Because Brawndo's got electrolytes.",circular reasoning
"All Greek food causes illness;  when I traveled through Greece, I got food  poisoning.",faulty generalization
"“I really deserve an “A” on this paper, professor. Not only did I study during my grandmother’s funeral, but I also passed up the heart transplant surgery, even though that was the first matching donor in 3 years.”",appeal to emotion
"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!",appeal to emotion
I called my friend and he didn't answer. He wasn't home or he was dead.,false dilemma
"Senator A: ""We should spend less on our military budget and spend more on health and education.""
Senator B: ""So you want to leave the country defenseless?""",fallacy of extension
My Aunt was in the hospital for 6 weeks because she didn't wear a seatbelt.,faulty generalization
"""Trump won't release his tax returns and prove he's clean, therefore he must have something to hide.""",intentional
"Jack: You should stop smoking - it's bad for you.
Jill: Look who's talking! You smoke three packs a day!",ad hominem
"I. The Ganges river is flooded due to large sheets of ice coming down from the Himalayas.
II. Many people in the Himalayan ranges lost their houses under huge sheets of ice.",false causality
If you don't have a recycling bin you hate the earth and don't care about pollution.,fallacy of extension
"During the first week of July ice cream sales climbed, and during the second week murder rates climbed. Therefore, ice cream inspires murder.",false causality
All engineers are introverts who would rather relate to computers than people. ,faulty generalization
Christine has a terrible experience with a boyfriend. She decides that all boys are mean. This is an example of which logical fallacy?,faulty generalization
"“If you really loved me, you would buy me everything I ever wanted!”",false dilemma
"My professor, who has a Ph.D. in Astronomy, once told me that ghosts are real. Therefore, ghosts are real.",fallacy of credibility
"""That's what abortion is - killing innocent humans for money. Abortionists are government licensed hit men.""",ad hominem
"It is ridiculous to have spent thousands of dollars to rescue those two whales trapped in the Arctic ice. Why, look at all the people trapped in jobs they don’t like.",fallacy of logic
"Audrey: I am a human being. I am not a cyborg from the future here to destroy humanity.

Fred: Prove that you are human! Cyborgs don't pass out when they lose a lot of blood. Here's a knife.

Audrey: Get to bed, Freddie. And no more SYFY channel before bed!",intentional
Beyond Meat burgers are healthy for us because they do not have any meat in them.,fallacy of credibility
We should give the other applicant the job because he has a poor family and he needs to provide for them. It looks like he suffers a lot!,appeal to emotion
"According to my brain, my brain is reliable.",circular reasoning
"""Coronavirus originated in China, therefore all Chinese people are sick.""",fallacy of extension
"Whilst rallying support for his plan to fundamentally undermine citizens' rights, the Supreme Leader told the people they were either on his side, or they were on the side of the enemy.",false dilemma
"You should never gamble! Once you start gambling you find it hard to stop. Soon you will spend all your money on gambling, and eventually you will turn to crime just to support your gambling addiction.
¡Nunca debes apostar! Una vez que empiece a jugar, le resultará difícil dejar de jugar. Pronto gastará todo su dinero en juegos de azar y, finalmente, recurrirá a la delincuencia solo para apoyar su adicción al juego.",faulty generalization
"""I should receive an 'A' in this class. I had a tough week!"" Hadi begged",appeal to emotion
"I know you don't like the kitty-cat  sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",appeal to emotion
"We're going to celebrate New Year's Eve this way because that's how we've always done it.
This is an example of ...",fallacy of credibility
"A local politician plans to expand the municipality's cycle network and to add several new speed cameras in densely populated areas. Their opponent says, ""They want us all to give up driving forever. They're punishing the honest car owners and commuters that help pay these politicians' salaries.""",fallacy of extension
"All judges are fair-minded individuals;  therefore, Judge Ito is fair in his decisions.",fallacy of logic
This is why a woman shouldn’t do a man's job,ad hominem
"If we allow Susan to leave early, soon we'll be giving everyone Friday afternoon off.",faulty generalization
"""I want my daughter to go to a state university so she can avoid too much debt.""
""Why do you think state schools are better than private schools? Harvard and Princeton are private."" What is this?",fallacy of extension
"Almost all of the students I talked to said that they don't like the senator. I'm sure he'll lose the election on Tuesday.
Which logical fallacy is represented here?",faulty generalization
Children should not listen to rap music. Everyone knows that.,ad populum
"If you vote for her, the government as we know it will fall apart.",faulty generalization
Arguing based on whether something is popular,ad populum
"only man is rational
no women is man
Therefore, no women is rational",equivocation
"I had a real bad headache, then saw my doctor.  Just by talking with him, my headache started to subside, and I was all better the next day.  It was well worth the $200 visit fee.",false causality
"What type of propaganda uses negative words or feelings against an idea, product or person?",ad hominem
"Board Member: “If this company is going to maximize its profits in the coming year, we need to fully exploit all of our available resources.”
Human Resources Director: “Not so fast. Our employees are one of our most valued resources, and we have a strict policy against exploiting our workers.”",equivocation
"Our colleague, Doctor Χ, is too young and inexperienced; we could do without his advice.",ad hominem
I guess I should buy my 12-year-old daughter an iPhone.  Everyone at her new school has one and I want her to fit in with the other kids.,ad populum
Our soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!,false causality
People like to walk on the beach. Beaches have sand. We should put sand on the floor in our living room.,fallacy of logic
"You can't give me a C! I'm an A student, a C is just wrong!",circular reasoning
Marie notices that many of her friends have started eating a low-carb diet and drinking protein shakes. Marie decides that if this many friends are eating this way that this must be the healthy way to eat so she joins them. This is an example of which logical fallacy?,ad populum
"Congressman Darell Issa calls White House Spokesperson Jay Carney a ""paid liar.""",ad hominem
"If I have cable, then I have seen a naked lady.
I don’t have cable.
Therefore, I have never seen a naked lady.",fallacy of logic
If the country is ever going to be safe from terrorists we have to close the borders.,false causality
"In the debate at Harvard, one of the Harvard team’s debaters rebutted Samantha Booke’s argument that Henry David Thoreau, a Harvard graduate, proposed civil disobedience as a means to protest unjust laws. The Harvard debater rebutted her by saying, “Thoreau could never know that Adolph Hitler would agree with him.” A BETTER rebuttal would have been to…",fallacy of credibility
"Believing that ""runs"" occur to statistically independent phenomena such as routine wheel spirits.",ad populum
"If you write to Mrs. Roth and tell her: ""Mrs Roth, I know I haven't done any of the assignments, but I need a C anyway because I'm asking nicely and I'm good person, and I'm going to get in trouble if you don't.""",appeal to emotion
"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn't be more wrong; the music industry is doing just fine.  I can't believe you think the government should be allowed to regulate what I share with my ""friends.""  No one wants a world where I can't loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",fallacy of extension
People either like coffee or hate it.,false dilemma
“The economy has improved greatly because of the new president.”,false causality
"Michael is part of the Jackson Five.  Without Tito and company, he will never make it.",faulty generalization
"Sarah wakes up one morning to find that she has just slept through her anatomy test. She emails her teacher and asks if she can make up the test. Sarah states that she deserves to take it over because she didn't sleep well because her boyfriend just broke up with her, her dog is sick and she stained her favorite dress. What fallacy is this?",appeal to emotion
"""The research I found on cell phone use in the classroom suggests that students can be distracted when they have access to texting. This leads me to believe that all high school students should not be allowed to have their phones on them at school anytime.",fallacy of logic
"Dave: For five generations, the men in our family went to Stanford and became doctors, while the women got married and raised children.  Therefore, it is my duty to become a doctor.
Kaitlin: Do you want to become a doctor?
Dave: It doesn’t matter -- it is our family tradition.  Who am I to break it?
",fallacy of credibility
"Mom: Watching TV that close will make you go blind, so move back!
Jonny: That is B.S., Mom. Sorry, I am not moving.
",false causality
A driver with a New York license plate cuts you off in traffic. You decide that all New York drivers are terrible drivers.,faulty generalization
"The rooster crows always before the sun rises, therefore the crowing rooster causes the sun to rise.",false causality
"If someone told you, ""Why should we be worrying about how the government treats Native people, when people in our city can't get a job?"" what logical fallacy are they using?",fallacy of relevance
"""Of course I can read Spanish! Look, I just finished this book by Jorge Luis Borges!""
""You lie! Borges isn't Spanish. He's from Argentina.""",equivocation
"The new vice president has never gone to public school, so he can never connect to the middle and lower class.",ad hominem
Distracting and dangerous mobile devices should be banned from use in vehicles.,circular reasoning
"This technique uses the logic: Everyone else is doing it, you should too!",ad populum
"David: We have way too much police presence in this city.
Pete: What are you going to do about it?
David: Vandalize, loot, and perhaps a little arson.
",false causality
That song is stupid because I don't know that musician.,fallacy of relevance
"""You'll make the right decision because you have something that not many people do: you have heart.""?",appeal to emotion
"Student: Hey, Professor Moore, we shouldn't have to read this book by Freud. Everyone knows he used cocaine.",ad hominem
Give me liberty or give me death,fallacy of credibility
"""A dog would be a great addition to our family. Think about how wonderful it would be to come home to a happy, excited, loving dog?"" This is an example of which persuasive technique?",appeal to emotion
Only fools are out in public right now. Careful people are staying home.,ad hominem
"Since Dwayne Johnson (aka The Rock) endorsed this protein powder, it must work wonders.",fallacy of credibility
"Since Lucy Sutton became vice president of the parent-teacher association, student performance has declined and teacher morale is down. We on the school board believe that Sutton bears sole responsibility for the downtrend.",false causality
"Salesguy: You should definitely buy this car.  You look so good in it -- you look at least ten years younger behind that wheel.
Tamera: I’ll take it!
",appeal to emotion
"""Schools should provide nutritious lunches to students.""
""So schools should take money away from technology and necessary supplies in the classroom?""",fallacy of extension
"President Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.",false causality
"If you don't drive a car, you hate the Earth.",fallacy of extension
"Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don’t expect to live a long life.",false causality
" 
The presence of police at protests cause an escalation of violence. It was the case that at the protest last night attended by uniformed police, there was an escalation of violence. Therefore, police should not be at protests.",false causality
"“Either you love me, or you hate me.”",false dilemma
I have several female friends and every one of them loves country music. All females love country music.,faulty generalization
People who learn from their mistakes don't repeat them.,faulty generalization
"Mother: It’s bedtime Jane

Jane: Mom, how do ants feed their babies?

Mother: Don’t know dear, close your eyes now.

Jane: But mama, do ant babies cry when they’re hungry?",fallacy of relevance
"ghosts must exist, because nobody has been able to prove that they don't is an example of",intentional
"We've got to stop them from banning pornography. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!",faulty generalization
America: Love it or leave it,false dilemma
"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",fallacy of credibility
War on drugs instills fear to criminals so it can stop the crimes in the Philippines.,faulty generalization
"Fewer tourists were recorded to have entered the country. This datum was gathered after Karapatan exposed the human rights violations happening here; therefore, Karapatan's expose was the reason for the low tourist turn out.",false causality
"""I started exercising twice a week, and I just got a babysitting job. Exercising leads to new jobs!""",false causality
"Bats are mammals. Bats can fly. Pigs are also mammals, therefore pigs can fly.",fallacy of logic
"Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization.",faulty generalization
Confession is good for the soul.,faulty generalization
"Although we have proven that the moon is not made of spare ribs, we have not proven that its core cannot be filled with them; therefore, the moon’s core is filled with spare ribs.",intentional
", when in fact more possibilities exist.",false dilemma
We can’t freeze the academic year because then students won’t graduate on time. Next thing you know most people will be unemployed and will resort to crime. The crime rate will skyrocket and society will collapse.,faulty generalization
"My opponent says I am weak on crime, but I have been one of the most reliable participants in city council meetings.",fallacy of relevance
"Every time I wash my car, it rains",false causality
Marty said that his Xbox One X had better resolution than Phil’s PS4 during their gaming console debate. Phil suddenly brought up how powerful his PC was when Marty started talking about the specs of the two gaming consoles.,fallacy of relevance
"Lisa was brainwashed as a child into thinking that people are generally good.  Therefore, people are not generally good.",ad hominem
"""Annie must like Starbucks because all girls like Starbucks.""",faulty generalization
"Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world. Therefore, it’s reasonable to conclude that chocolate helps keep your weight down.",false causality
"""All sports car drivers are too aggressive!"" is an example of:",faulty generalization
"Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break.",false causality
"Mom: ""Did you finish your homework?"" Son: ""Hey, did I tell you that I got an A on my physics test today!""",fallacy of relevance
Snarl Words are an example of...,appeal to emotion
"Everybody else is doing it, why don't you?",ad populum
I guess that I should by my 12 year old an iPhone since everyone else has one.,ad populum
"Wife: I'd rather have a dog than a cat
Husband: Why do you hate cats?",fallacy of extension
"Mom: Remember, dear. Nobody's going to buy the cow if they get the milk for free.
Daughter: You are only saying that because you are my mother.
Daughter: Wait... did you just call me a cow?
",ad hominem
"Speaker 1: Dr. Singh says meat eating is bad for the environment.
Speaker 2: He’s a Sikh. They don’t eat meat. Of course he would say that. He can’t be telling the truth.",ad hominem
"Vietnam War—America, love it or leave it",ad populum
The Geo Metro is a superior car because it averages 43 miles per gallon.,intentional
"A is true because B is true, and B is true because A is true.",circular reasoning
He’s just a psychology teacher at a community college,ad hominem
Everyone is against child pornography. I asked Mrs. Smith and Mr. Jones at the PTA meeting and they are definitely against it.,faulty generalization
"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.
Charlie: Creo que deberíamos invertir más dinero en las escuelas. La educación pública de calidad es muy importante.

Bob: ¿Entonces estás diciendo que deberíamos recortar el gasto militar y gastarlo en más cuadernos de espiral y crayones? Supongo que quiere que nuestro país sea un objetivo débil e indefenso para los terroristas.",fallacy of extension
